# time_start: 2026-05-10 13:09:40
# time_stop:  2026-05-10 13:09:47
CH 0, CH 8, CH 9
37, -185, 86047
31, -408, 86023
10, -325, 86037
19, -581, 86004
22, -257, 86004
19, -198, 85996
25, -297, 85952
46, -411, 86027
29, -256, 86067
12, -435, 86037
20, -382, 86052
26, -301, 86001
29, -393, 86047
23, -247, 86013
42, -288, 86042
35, -117, 86051
18, -229, 86026
22, -517, 86044
15, -276, 86054
22, -386, 86051
25, -342, 86015
33, -372, 86010
30, -323, 86038
24, -115, 86013
20, -302, 86005
21, -350, 86047
22, -536, 85986
12, -224, 86028
27, -184, 86058
45, -279, 86071
37, -366, 85982
28, -466, 86083
12, -218, 86011
24, -151, 86010
23, -479, 86001
20, -194, 86031
41, -308, 86071
32, -327, 86001
20, -280, 86029
22, -219, 86045
28, -211, 86037
19, -193, 86061
21, -376, 86003
41, -405, 85991
38, -276, 86055
21, -263, 86083
21, -153, 85998
30, -441, 86088
20, -360, 86035
25, -297, 86056
19, -262, 86055
11, -60, 86039
34, -245, 86002
46, -239, 86030
22, -328, 85990
20, -162, 85962
18, -198, 86085
21, -327, 86019
20, -529, 85992
26, -444, 86025
41, -370, 86040
39, -331, 86004
20, -332, 86040
19, -346, 86009
20, -131, 86018
18, -323, 86029
21, -133, 86008
38, -284, 86006
31, -393, 86083
12, -352, 86003
33, -338, 86045
20, -390, 86040
22, -268, 86040
20, -259, 86031
32, 22, 86028
33, -276, 86033
22, -329, 86057
27, -193, 85980
31, -173, 86032
27, -160, 85911
14, -271, 85953
27, -353, 86018
21, -28, 86004
17, -185, 86017
26, -385, 86039
46, -383, 86038
31, -350, 86006
29, -451, 86031
24, -286, 85994
17, -340, 86024
8, -277, 86052
35, -360, 86062
29, -188, 86076
26, -104, 85978
22, -33, 86050
16, -221, 86011
32, -236, 86014
20, -191, 86047
26, -213, 85994
16, -394, 85999
30, -313, 86060
24, -266, 86012
25, -355, 86021
35, -405, 85996
17, -137, 86014
25, -246, 86050
19, 25, 86037
25, -412, 86029
37, -412, 86064
20, -274, 86030
18, -241, 86051
17, -236, 85997
13, -280, 86031
23, -340, 86041
46, -360, 86033
30, -344, 86004
30, -480, 86050
26, -376, 86064
19, -246, 86008
20, -223, 86029
23, -462, 86013
8, -213, 86023
34, -141, 86031
39, -409, 86025
29, -118, 85990
21, -256, 86047
24, -349, 86023
12, -365, 85974
19, -281, 86024
29, -56, 85976
44, -213, 86050
34, -409, 86005
25, -106, 86022
15, -234, 86019
16, -105, 86006
16, -236, 86050
28, -165, 86045
45, -405, 86003
37, -139, 86047
16, -334, 86022
15, -396, 86028
18, -287, 85999
11, -241, 86016
25, -154, 86038
41, -364, 86074
39, -362, 86036
45, -200, 86065
19, -209, 86029
16, -298, 86009
11, -437, 86032
24, -260, 86062
24, -366, 85987
36, -104, 86056
43, -421, 86012
33, -231, 86038
22, -329, 85984
22, -83, 86019
29, -441, 86036
15, -222, 86032
24, -172, 86031
42, 24, 85975
27, -412, 86008
23, -392, 86031
20, -95, 85979
15, -435, 86064
20, -273, 85982
30, -322, 86058
40, -180, 86058
30, -208, 85968
24, -291, 86000
16, -296, 85972
11, -125, 86003
14, -402, 86022
40, -114, 86022
38, -246, 86032
27, -339, 86047
23, -172, 86041
21, -413, 86054
21, -259, 85997
22, -224, 86039
18, -484, 85939
29, -336, 86002
41, -175, 86058
33, -233, 86045
29, -416, 86061
29, -232, 85986
24, -316, 86051
15, -384, 86072
20, -145, 85997
15, -195, 86009
40, -281, 86056
28, -269, 86028
21, -355, 86039
21, -226, 86013
11, -226, 86001
16, -319, 86031
37, -40, 86030
49, 28, 86047
31, -201, 86077
18, -319, 86028
20, -415, 86013
34, -541, 86007
13, -497, 86063
25, -246, 86033
33, -259, 86061
36, -299, 86021
19, -251, 86048
20, -18, 86058
23, -417, 86003
24, -265, 86031
13, -95, 86028
30, -472, 86021
40, -257, 86022
25, -373, 86061
25, -162, 86043
19, -220, 85970
13, -311, 86023
23, -256, 86010
37, -319, 85987
23, -123, 86052
19, -371, 86002
24, -378, 86040
35, -157, 86078
20, -122, 86021
34, -563, 86024
23, -188, 85995
19, -342, 86067
15, -368, 86010
32, -389, 86056
33, -205, 85999
21, -336, 85994
19, -303, 85975
18, -141, 85998
20, -106, 86004
26, -402, 86059
41, -192, 86023
34, -231, 86029
22, -351, 86024
22, -430, 86040
23, -409, 86026
22, -197, 86094
19, -490, 86015
29, -8, 86017
27, -223, 86046
23, 41, 85993
21, 61, 86060
21, -188, 86025
17, -334, 86021
39, -224, 86055
32, -319, 86026
23, -251, 86053
23, -261, 86028
21, -513, 86068
19, -245, 86043
30, -191, 86039
19, -204, 86035
27, -382, 86066
36, -260, 85997
16, -334, 86024
18, -138, 85981
18, -80, 86051
36, -255, 86051
30, -317, 86082
26, -144, 86000
19, -227, 86030
23, -387, 86002
17, -161, 86006
30, -468, 86060
39, -435, 86042
29, -440, 86027
19, -306, 85995
20, -176, 86029
28, -121, 86025
21, -123, 85992
22, -262, 86028
30, -221, 86018
31, -231, 85987
22, -299, 86051
25, -181, 86030
21, -263, 86053
29, -226, 86015
27, -144, 85985
25, -220, 86009
23, -300, 86033
17, -80, 85997
25, -121, 86008
21, -212, 86055
37, -398, 86016
30, -380, 86040
30, -278, 86026
15, -57, 86065
25, -243, 86003
18, -538, 86047
15, -454, 86022
36, -424, 86018
42, -194, 85999
29, -182, 86032
21, -353, 85999
28, -260, 86034
30, -259, 86008
18, -395, 85986
24, -275, 86009
14, -46, 86024
33, -303, 85995
30, -268, 86043
24, -359, 86011
16, -345, 86024
23, -359, 86013
26, -200, 86032
25, -273, 85999
30, -311, 86036
22, -154, 86046
17, -50, 86033
21, -220, 86004
31, -114, 86023
